code,name,name_kana,name_romaji
22101,静岡市葵区,シズオカシアオイク,SHIZUOKA SHI AOI KU
22102,静岡市駿河区,シズオカシスルガク,SHIZUOKA SHI SURUGA KU
22103,静岡市清水区,シズオカシシミズク,SHIZUOKA SHI SHIMIZU KU
22131,浜松市中区,ハママツシナカク,HAMAMATSU SHI NAKA KU
22132,浜松市東区,ハママツシヒガシク,HAMAMATSU SHI HIGASHI KU
22133,浜松市西区,ハママツシニシク,HAMAMATSU SHI NISHI KU
22134,浜松市南区,ハママツシミナミク,HAMAMATSU SHI MINAMI KU
22135,浜松市北区,ハママツシキタク,HAMAMATSU SHI KITA KU
22136,浜松市浜北区,ハママツシハマキタク,HAMAMATSU SHI HAMAKITA KU
22137,浜松市天竜区,ハママツシテンリュウク,HAMAMATSU SHI TENRYU KU
22203,沼津市,ヌマヅシ,NUMAZU SHI
22205,熱海市,アタミシ,ATAMI SHI
22206,三島市,ミシマシ,MISHIMA SHI
22207,富士宮市,フジノミヤシ,FUJINOMIYA SHI
22208,伊東市,イトウシ,ITO SHI
22209,島田市,シマダシ,SHIMADA SHI
22210,富士市,フジシ,FUJI SHI
22211,磐田市,イワタシ,IWATA SHI
22212,焼津市,ヤイヅシ,YAIZU SHI
22213,掛川市,カケガワシ,KAKEGAWA SHI
22214,藤枝市,フジエダシ,FUJIEDA SHI
22215,御殿場市,ゴテンバシ,GOTEMBA SHI
22216,袋井市,フクロイシ,FUKUROI SHI
22219,下田市,シモダシ,SHIMODA SHI
22220,裾野市,スソノシ,SUSONO SHI
22221,湖西市,コサイシ,KOSAI SHI
22222,伊豆市,イズシ,IZU SHI
22223,御前崎市,オマエザキシ,OMAEZAKI SHI
22224,菊川市,キクガワシ,KIKUGAWA SHI
22225,伊豆の国市,イズノクニシ,IZUNOKUNI SHI
22226,牧之原市,マキノハラシ,MAKINOHARA SHI
22301,賀茂郡東伊豆町,カモグンヒガシイズチョウ,KAMO GUN HIGASHIIZU CHO
22302,賀茂郡河津町,カモグンカワヅチョウ,KAMO GUN KAWAZU CHO
22304,賀茂郡南伊豆町,カモグンミナミイズチョウ,KAMO GUN MINAMIIZU CHO
22305,賀茂郡松崎町,カモグンマツザキチョウ,KAMO GUN MATSUZAKI CHO
22306,賀茂郡西伊豆町,カモグンニシイズチョウ,KAMO GUN NISHIIZU CHO
22325,田方郡函南町,タガタグンカンナミチョウ,TAGATA GUN KANNAMI CHO
22341,駿東郡清水町,スントウグンシミズチョウ,SUNTO GUN SHIMIZU CHO
22342,駿東郡長泉町,スントウグンナガイズミチョウ,SUNTO GUN NAGAIZUMI CHO
22344,駿東郡小山町,スントウグンオヤマチョウ,SUNTO GUN OYAMA CHO
22424,榛原郡吉田町,ハイバラグンヨシダチョウ,HAIBARA GUN YOSHIDA CHO
22429,榛原郡川根本町,ハイバラグンカワネホンチョウ,HAIBARA GUN KAWANEHON CHO
22461,周智郡森町,シュウチグンモリマチ,SHUCHI GUN MORI MACHI
